NI RH RM RS V DG DM DS
191 0 38 59 - 9 0 10
191 0 39 0 - 9 0 54
192 0 39 14 + 0 51 51
193 0 39 19 + 3 19 52
194 0 39 18 + 3 2 15
195 0 39 36 - 9 11 39
196 0 39 18 + 0 54 47
197 0 39 19 + 0 53 33
198 0 39 23 + 2 47 54
199 0 39 33 + 3 8 17
200 0 39 35 + 2 53 13
201 0 39 35 + 0 51 37
202 0 39 40 + 3 32 8
203 0 39 40 + 3 26 33
204 0 39 44 + 3 18 0
205 0 40 22 + 41 41 7
206 0 40 32 + 40 44 18
207 0 39 41 - 14 14 11
208 0 40 17 + 2 45 21
209 0 39 4 - 18 36 30
210 0 40 35 - 13 52 21
211 0 39 40 + 3 26 33
212 0 40 13 - 56 9 9
213 0 41 10 + 16 28 11
214 0 41 28 + 25 29 58
215 0 40 49 - 56 12 51
216 0 41 27 - 21 2 43
217 0 41 34 - 10 1 18
218 0 46 32 + 36 19 32
219 0 42 11 + 0 54 16
220 0 40 30 - 73 24 15
221 0 42 42 + 40 51 57
222 0 40 44 - 73 23 9
223 0 42 16 + 0 50 46
224 0 42 44 + 41 16 8
225 0 43 36 + 61 46 0
226 0 42 54 + 32 34 49
227 0 42 37 - 1 31 41
228 0 42 55 + 23 30 12
229 0 43 5 + 23 30 34
230 0 42 27 - 23 37 44
231 0 41 6 - 73 21 9
232 0 42 46 - 23 33 42
233 0 43 37 + 30 35 13
234 0 43 32 + 14 20 33
235 0 42 53 - 23 32 28
235 0 42 54 - 23 32 43
236 0 43 27 + 2 57 29
237 0 43 28 - 0 7 31
238 0 43 26 - 50 10 58
239 0 44 38 - 3 45 36
240 0 45 2 + 6 6 46
241 0 43 33 - 73 26 33
242 0 43 33 - 73 26 33
243 0 46 1 + 29 57 35
244 0 45 47 - 15 35 50
245 0 46 6 - 1 43 24
246 0 47 3 - 11 52 17
247 0 47 8 - 20 45 36
248 0 45 24 - 73 22 49
249 0 45 32 - 73 4 49
250 0 47 16 + 7 54 36
251 0 47 54 + 19 35 49
252 0 48 2 + 27 37 24
253 0 47 33 - 25 17 15
254 0 47 28 - 31 25 19
255 0 47 47 - 11 28 6
256 0 45 53 - 73 30 25
257 0 48 2 + 8 17 48
258 0 48 13 + 27 39 28
259 0 48 3 - 2 46 33
260 0 48 35 + 27 41 31
261 0 46 28 - 73 6 14
262 0 48 47 + 31 57 27
263 0 48 48 - 13 6 26
264 0 48 21 - 38 14 4
265 0 47 11 - 73 28 38
266 0 49 48 + 32 16 39
267 0 48 3 - 73 16 27
268 0 50 9 - 5 11 38
269 0 48 21 - 73 31 54
270 0 50 32 - 8 39 6
271 0 50 42 - 1 54 38
272 0 51 26 + 35 49 18
273 0 50 48 - 6 53 8
274 0 51 2 - 7 3 24
275 0 51 5 - 7 3 55
276 0 52 7 - 22 40 49
277 0 51 17 - 8 35 47
278 0 52 5 + 47 33 3
279 0 52 9 - 2 13 6
280 0 52 30 + 24 21 3
281 0 52 54 + 56 37 30
282 0 52 42 + 30 38 20
283 0 53 13 - 13 9 48
284 0 53 24 - 13 9 30
285 0 53 30 - 13 9 37
286 0 53 30 - 13 6 44
287 0 53 28 + 32 28 57
288 0 52 46 - 26 35 51
289 0 52 42 - 31 12 20
290 0 51 15 - 73 9 45
291 0 53 30 - 8 46 3
292 0 52 38 - 72 48 0
293 0 54 16 - 7 14 8
294 0 53 6 - 73 22 50
295 0 55 5 + 31 31 48
296 0 55 7 + 31 32 32
