NI RH RM RS V DG DM DS
2126 6 2 33 + 49 51 57
2127 5 51 22 - 69 21 41
2128 6 4 34 + 57 37 39
2129 6 1 7 + 23 19 4
2130 5 52 24 - 67 20 3
2131 5 58 47 - 26 39 11
2132 5 55 9 - 59 54 37
2133 5 51 29 - 71 10 30
2134 5 51 57 - 71 5 50
2135 5 53 35 - 67 25 38
2136 5 52 59 - 69 29 33
2137 5 53 13 - 69 28 55
2138 5 54 49 - 65 50 7
2139 6 1 8 - 23 40 22
2140 5 54 16 - 68 36 0
2141 6 2 55 + 10 26 47
2142 6 1 50 - 10 35 51
2143 6 3 7 + 5 43 42
2144 5 40 56 - 82 7 8
2145 5 54 23 - 70 54 7
2146 6 18 38 + 78 21 21
2146 6 23 55 + 78 31 48
2147 5 55 46 - 68 12 6
2148 5 58 46 - 59 7 35
2149 6 3 31 - 9 43 50
2150 5 55 46 - 69 33 39
2151 5 56 21 - 69 1 3
2152 6 0 55 - 50 44 27
2153 5 57 52 - 66 24 3
2154 5 57 38 - 67 15 44
2155 5 58 33 - 65 28 35
2156 5 57 50 - 68 27 39
2157 5 57 35 - 69 11 50
2158 6 7 26 + 24 5 46
2159 5 58 3 - 68 37 28
2160 5 58 13 - 68 17 23
2161 5 55 43 - 74 21 14
2162 6 0 30 - 63 43 20
2163 6 7 50 + 18 39 27
2164 5 58 55 - 68 30 56
2165 6 11 4 + 51 40 42
2166 5 59 34 - 67 56 29
2167 6 6 59 - 6 12 10
2168 6 9 0 + 24 21 0
2169 6 8 24 + 13 57 53
2170 6 7 31 - 6 23 53
2171 5 44 14 - 70 40 9
2172 6 0 6 - 68 38 13
2173 5 57 59 - 72 58 41
2174 6 9 0 + 20 38 26
2175 6 9 39 + 20 29 18
2175 6 10 54 + 20 36 36
2176 6 1 19 - 66 51 12
2177 6 1 17 - 67 44 0
2178 6 2 48 - 63 45 50
2179 6 8 2 - 21 44 46
2180 6 9 36 + 4 42 44
2181 6 2 44 - 65 15 54
2182 6 9 31 - 6 19 35
2183 6 10 47 - 6 12 43
2184 6 11 0 - 3 29 0
2185 6 11 0 - 6 13 36
2186 6 12 7 + 5 27 31
2187 6 3 52 - 69 34 40
2187 6 3 44 - 69 35 17
2188 6 10 10 - 34 6 18
2189 6 12 17 + 1 3 42
2190 6 1 4 - 74 43 32
2191 6 8 24 - 52 30 44
2192 6 15 17 + 39 51 19
2193 6 6 18 - 65 5 57
2194 6 13 46 + 12 48 24
2195 6 14 35 + 17 38 22
2196 6 12 10 - 21 48 22
2197 6 6 9 - 67 5 51
2198 6 13 54 + 0 59 42
2199 6 4 45 - 73 24 0
2200 6 13 17 - 43 39 47
2201 6 13 31 - 43 42 18
2202 6 16 51 + 5 59 48
2203 6 4 43 - 75 26 18
2204 6 15 33 - 18 39 54
2205 6 10 33 - 62 32 19
2206 6 15 60 - 26 45 55
2207 6 16 22 - 21 22 22
2208 6 22 35 + 51 54 36
2209 6 8 34 - 73 50 16
2210 6 11 32 - 69 7 15
2211 6 18 30 - 18 32 16
2212 6 18 36 - 18 31 12
2213 6 10 42 - 71 31 42
2214 6 12 58 - 68 15 33
2215 6 20 49 - 7 17 2
2216 6 21 31 - 22 5 14
2217 6 21 40 - 27 14 3
2218 6 24 42 + 19 20 42
2219 6 23 44 - 4 40 36
2220 6 21 12 - 44 45 28
2221 6 20 16 - 57 34 43
2222 6 20 17 - 57 32 0
2223 6 24 36 - 22 50 19
2224 6 27 32 + 12 39 20
2225 6 26 37 - 9 38 30
2226 6 26 38 - 9 38 32
2227 6 25 58 - 22 0 17
2228 6 21 16 - 64 27 33
2229 6 21 24 - 64 57 24
2230 6 21 28 - 64 59 34
2231 6 20 43 - 67 31 7
2232 6 27 15 - 4 45 30
2233 6 21 40 - 65 2 0
2234 6 29 29 + 16 43 8
2235 6 22 22 - 64 56 5
2236 6 29 40 + 6 49 51
2237 6 30 55 + 5 2 52
2238 6 30 40 + 5 0 47
2239 6 32 19 + 4 51 24
2240 6 33 11 + 35 15 2
2241 6 22 53 - 68 55 29
2242 6 34 7 + 44 46 40
2243 6 29 34 - 31 16 53
2244 6 32 19 + 4 51 24
2245 6 32 41 + 10 9 24
2246 6 32 34 + 5 7 42
2247 6 33 5 + 10 19 18
2248 6 34 35 + 26 18 21
2249 6 25 50 - 68 55 11
2250 6 33 50 - 5 5 4
2251 6 34 38 + 8 21 59
2252 6 34 20 + 5 19 22
2253 6 42 32 + 66 24 0
2254 6 35 47 + 7 40 15
2255 6 33 59 - 34 48 42
2256 6 47 14 + 74 14 13
2257 6 30 13 - 64 19 29
2258 6 47 47 + 74 28 53
2259 6 38 33 + 10 52 57
2260 6 38 3 - 1 28 20
2261 6 39 10 + 8 44 40
2262 6 39 39 + 1 8 30
2263 6 38 29 - 24 50 55
2264 6 40 58 + 9 53 44
2265 6 41 42 + 11 54 19
2266 6 43 19 + 26 58 10
2267 6 40 52 - 32 28 56
2268 7 14 18 + 84 22 56
2269 6 43 17 + 4 37 28
2270 6 43 58 + 3 28 45
2271 6 42 53 - 23 28 33
2272 6 42 41 - 27 27 35
2273 6 50 8 + 60 50 45
2273 6 40 7 + 60 4 50
2273 6 46 32 + 60 20 25
2274 6 47 17 + 33 34 3
2275 6 47 18 + 33 35 57
2276 7 27 14 + 85 45 18
2277 6 47 47 + 33 27 17
2278 6 48 16 + 33 23 43
2279 6 48 25 + 33 24 52
2280 6 44 49 - 27 38 20
2281 6 48 18 + 41 4 44
2282 6 46 51 + 1 18 54
2283 6 45 53 - 18 12 37
2284 6 49 10 + 33 11 40
2285 6 49 36 + 33 21 54
2286 6 47 40 - 3 8 52
2287 6 46 0 - 20 45 24
2288 6 50 52 + 33 27 44
2289 6 50 54 + 33 28 45
2290 6 50 57 + 33 26 17
2291 6 50 59 + 33 31 32
2292 6 47 39 - 26 44 47
2293 6 47 43 - 26 45 17
2294 6 51 11 + 33 31 37
2295 6 47 23 - 26 44 10
2296 6 48 39 - 16 54 4
2297 6 44 25 - 63 43 3
2298 6 48 59 - 36 0 17
2299 6 51 57 - 7 5 4
2300 7 32 20 + 85 42 33
2301 6 51 45 + 0 27 33
2302 6 51 57 - 7 5 4
2303 6 56 17 + 45 29 36
2304 6 55 12 + 17 59 19
2305 6 48 37 - 64 16 22
2306 6 54 30 - 7 11 55
2307 6 48 51 - 64 20 6
2308 6 58 38 + 45 12 40
2309 6 56 4 - 7 10 28
2310 6 53 54 - 40 51 49
2311 6 57 48 - 4 36 41
2312 6 58 47 + 10 17 44
2313 6 58 3 - 7 56 42
2314 7 10 32 + 75 19 40
2315 7 2 33 + 50 35 27
2316 6 59 41 - 7 46 38
2317 6 59 41 - 7 46 38
2318 6 59 27 - 13 41 52
2319 7 0 32 + 3 2 34
2320 7 5 42 + 50 34 51
2321 7 5 59 + 50 45 24
2322 7 6 0 + 50 30 38
2323 7 2 48 - 8 22 33
2324 7 4 8 + 1 2 41
2325 7 2 40 - 28 41 52
2326 7 8 11 + 50 40 56
2326 7 8 34 + 50 37 54
2327 7 4 7 - 11 18 51
2328 7 2 36 - 42 4 5
2329 7 9 8 + 48 36 57
2330 7 9 28 + 50 9 11
2331 7 6 60 + 27 15 42
2332 7 9 34 + 50 10 55
2333 7 8 21 + 35 10 12
2334 7 11 34 + 50 14 56
2335 7 6 49 - 10 1 43
2336 7 27 4 + 80 10 40
2336 7 56 15 + 78 0 47
2337 7 10 14 + 44 27 25
2338 7 7 43 - 5 43 0
2339 7 8 20 + 18 46 46
2340 7 11 11 + 50 10 29
2341 7 9 12 + 20 36 12
2342 7 9 18 + 20 38 13
2343 7 8 7 - 10 37 0
2344 7 12 29 + 47 10 2
2345 7 8 19 - 13 11 37
2346 7 9 23 - 0 48 22
2347 7 16 4 + 64 42 41
2348 7 3 3 - 67 23 39
2349 7 10 48 - 8 35 34
2350 7 13 12 + 12 15 59
2351 7 13 30 - 10 28 58
2352 7 13 6 - 24 2 20
2353 7 14 30 - 10 15 57
2354 7 14 10 - 25 41 24
2355 7 16 59 + 13 45 0
2356 7 16 59 + 13 45 0
2357 7 17 41 + 23 21 23
2358 7 16 56 - 17 7 0
2359 7 18 30 - 13 13 30
2360 7 17 43 - 15 38 29
2361 7 18 24 - 13 12 32
2362 7 18 41 - 24 57 15
2363 7 28 30 + 69 11 34
2364 7 20 46 - 7 32 58
2365 7 22 22 + 22 5 0
2366 7 28 55 + 69 12 58
2367 7 20 6 - 21 52 54
2368 7 21 2 - 10 22 28
2369 7 16 38 - 62 20 38
2369 7 18 44 - 62 56 12
2369 7 20 30 - 62 3 14
2370 7 25 2 + 23 47 1
2371 7 25 34 + 29 29 18
2372 7 25 34 + 29 29 18
2373 7 26 37 + 33 49 27
2374 7 23 56 - 13 15 48
2375 7 27 9 + 33 49 57
2376 7 26 36 + 23 4 24
2377 7 24 57 - 9 39 38
2378 7 27 24 + 33 49 55
2379 7 27 26 + 33 48 43
2380 7 23 55 - 27 31 43
2381 7 19 57 - 63 4 1
2382 7 23 55 - 27 31 43
2383 7 24 40 - 20 56 51
2384 7 25 10 - 21 1 18
2385 7 28 28 + 33 50 17
2386 7 28 38 + 33 46 35
2387 7 28 58 + 36 52 47
2388 7 28 54 + 33 49 8
2389 7 29 5 + 33 51 39
2390 7 29 4 + 33 50 13
2391 7 29 8 + 33 49 33
2392 7 29 11 + 20 54 45
2393 7 30 5 + 34 1 40
2394 7 28 37 + 7 5 14
2395 7 27 13 + 13 36 30
2396 7 28 0 - 11 43 0
2397 7 21 20 - 69 0 5
2397 7 21 8 - 69 6 55
2397 7 21 56 - 68 50 45
2398 7 30 16 + 24 29 17
2398 7 30 14 + 24 29 29
2399 7 29 50 - 0 12 49
2400 7 29 55 - 0 12 51
2401 7 29 24 - 13 58 0
2402 7 30 47 + 9 38 51
2402 7 30 48 + 9 39 14
2403 7 36 51 + 65 36 6
2404 7 37 7 + 65 36 40
2405 7 32 14 + 25 54 22
2405 7 32 15 + 25 54 21
2406 7 31 48 + 18 17 19
2407 7 31 57 + 18 20 1
2408 7 40 30 + 71 40 0
2409 7 31 37 - 17 11 23
2410 7 35 2 + 32 49 21
2411 7 34 36 + 18 16 55
2412 7 34 22 + 8 32 51
2413 7 33 19 - 13 7 9
2414 7 33 13 - 15 27 14
2415 7 36 57 + 35 14 31
2416 7 35 41 + 11 36 45
2417 7 30 12 - 62 15 9
2418 7 36 37 + 17 53 2
2419 7 38 9 + 38 52 57
2420 7 38 24 + 21 34 27
2421 7 36 12 - 20 36 42
2422 7 36 35 - 14 28 47
2423 7 37 7 - 13 52 17
2424 7 40 39 + 39 14 0
2425 7 38 18 - 14 52 40
2426 7 43 18 + 52 19 5
2427 7 36 28 - 47 38 9
2428 7 39 22 - 16 31 42
2429 7 43 48 + 52 21 27
2429 7 43 48 + 52 21 27
2429 7 43 52 + 52 20 53
2430 7 39 41 - 16 17 46
2431 7 45 13 + 53 4 32
2432 7 40 53 - 19 4 36
2433 7 42 44 + 9 15 33
2434 7 34 52 - 69 17 4
2435 7 44 13 + 31 39 2
2436 7 45 13 + 53 4 32
2437 7 41 47 - 14 48 36
2438 7 41 51 - 14 44 5
2439 7 40 45 - 31 41 33
2440 7 41 55 - 18 12 29
2441 7 51 55 + 73 0 55
2442 7 36 24 - 69 31 51
2443 7 36 24 - 69 31 51
2444 7 46 53 + 39 1 57
2445 7 46 55 + 39 0 56
2446 7 48 39 + 54 36 42
2447 7 44 30 - 23 51 24
2448 7 44 35 - 24 40 51
2449 7 47 20 + 26 55 50
2450 7 47 32 + 27 1 10
2451 7 45 24 - 37 57 0
2452 7 47 26 - 27 20 6
2453 7 47 34 - 27 11 41
2454 7 50 35 + 16 22 9
2455 7 49 0 - 21 18 6
2456 7 54 11 + 55 29 43
2457 7 54 46 + 55 32 50
2458 7 55 52 + 56 42 39
2459 7 52 2 + 9 33 29
2460 7 56 53 + 60 20 58
2461 7 56 26 + 56 40 26
2462 7 56 32 + 56 41 12
2463 7 57 12 + 56 40 37
2464 7 57 32 + 56 41 27
2465 7 57 25 + 56 49 17
2466 7 45 16 - 71 24 39
2467 7 52 26 - 26 26 12
2468 7 58 2 + 56 21 33
2469 7 58 3 + 56 40 48
2470 7 54 20 + 4 27 36
2471 7 58 33 + 56 46 32
2472 7 58 42 + 56 42 4
2473 7 55 35 + 56 44 11
2474 7 58 0 + 52 51 44
2475 7 57 59 + 52 51 26
2476 7 56 45 + 39 55 40
2477 7 52 10 - 38 31 48
2478 7 36 35 - 14 28 47
2479 7 55 6 - 17 42 28
2480 7 57 11 + 23 46 47
2481 7 57 14 + 23 46 3
2482 7 55 12 - 24 15 30
2483 7 55 39 - 27 53 42
2484 7 58 28 + 37 47 12
2485 7 56 49 + 7 28 39
2486 7 57 57 + 25 9 40
2487 7 58 20 + 25 8 57
2488 8 1 46 + 56 33 10
2489 7 56 16 - 30 3 51
2490 7 59 18 + 27 4 40
2491 7 58 27 + 7 59 4
2492 7 59 30 + 27 1 35
2493 8 0 24 + 39 49 51
2494 7 59 7 - 0 38 15
2495 8 0 33 + 39 50 26
2496 7 58 37 + 8 1 41
2497 8 2 11 + 56 56 32
2498 7 59 39 + 24 59 0
2499 7 58 52 + 7 29 34
2500 8 1 53 + 50 44 12
2501 7 58 30 - 14 21 15
2502 7 55 52 - 52 18 25
2503 8 0 37 + 22 24 0
2504 7 59 52 + 5 36 28
2505 8 4 7 + 53 32 59
2506 8 0 2 - 10 46 11
2507 8 1 37 + 15 42 37
2508 8 1 57 + 8 33 7
2509 8 0 48 - 19 3 2
2510 8 2 11 + 9 29 10
2511 8 2 15 + 9 23 43
2512 8 3 8 + 23 23 30
2513 8 2 25 + 9 24 50
2514 8 2 50 + 15 48 28
2515 8 3 21 + 20 11 17
2516 7 58 4 - 60 45 12
2517 8 2 47 - 12 19 2
2518 8 7 20 + 51 7 56
2519 8 7 59 + 51 7 44
2520 8 4 58 - 28 8 46
2521 8 8 49 + 57 46 11
2522 8 6 14 + 17 42 24
2523 8 15 0 + 73 34 44
2523 8 4 8 + 74 2 53
2523 8 12 57 + 73 33 49
2523 8 17 44 + 73 19 5
2524 8 8 10 + 39 9 28
2525 8 5 38 - 11 25 39
2526 8 6 58 + 8 0 15
2527 8 4 58 - 28 8 46
2528 8 7 25 + 39 11 41
2529 8 6 57 + 17 49 43
2530 8 7 56 + 17 49 6
2531 8 7 56 + 17 50 6
2532 8 10 15 + 33 57 22
2533 8 7 4 - 29 52 0
2534 8 12 54 + 55 40 19
2535 8 11 14 + 25 12 26
2536 8 11 16 + 25 10 47
2537 8 13 14 + 45 59 29
2537 8 13 41 + 45 59 36
2538 8 11 23 + 3 37 59
2539 8 10 37 - 12 49 14
2540 8 12 47 + 26 21 41
2541 8 14 40 + 49 3 43
2542 8 11 16 - 12 55 35
2543 8 12 58 + 36 15 13
2544 8 21 40 + 73 59 18
2545 8 14 14 + 21 21 22
2546 8 12 24 - 37 37 0
2547 8 10 9 - 49 13 30
2548 8 13 43 - 5 45 2
2549 8 18 58 + 57 48 11
2550 8 24 34 + 74 0 43
2550 8 28 39 + 73 44 53
2551 8 24 50 + 73 24 45
2552 8 19 20 + 50 0 25
2553 8 17 35 + 20 54 12
2554 8 17 53 + 23 28 20
2555 8 17 56 + 0 44 42
2556 8 19 1 + 20 56 15
2557 8 19 11 + 21 26 10
2558 8 19 13 + 20 30 41
2559 8 17 6 - 27 27 25
2560 8 19 52 + 20 59 5
2561 8 19 37 + 4 39 24
2562 8 20 24 + 21 7 54
2563 8 20 36 + 21 4 5
2564 8 18 30 - 21 48 58
2565 8 19 48 + 22 1 53
2566 8 18 46 - 25 30 2
2567 8 18 32 - 30 38 24
2568 8 18 18 - 37 6 19
2569 8 21 21 + 20 52 5
2570 8 21 23 + 20 54 38
2571 8 18 56 - 29 44 57
2572 8 21 25 + 19 8 52
2573 1 41 53 - 89 20 3
2573 23 12 15 - 89 7 27
2573 23 7 32 - 89 6 55
2574 8 20 48 - 8 55 6
2575 8 22 45 + 24 17 49
2576 8 22 58 + 25 44 22
2577 8 22 43 + 22 33 13
2578 8 21 24 - 13 19 5
2579 8 20 53 - 36 12 58
2580 8 21 28 - 30 17 30
2581 8 24 31 + 18 35 49
2582 8 25 12 + 20 20 3
2583 8 23 8 - 5 0 9
2584 8 23 16 - 4 58 15
2585 8 23 26 - 4 54 55
2586 8 23 31 - 4 57 5
2587 8 23 24 - 29 30 31
2588 8 23 10 - 32 58 30
2589 8 24 29 - 8 46 4
2590 8 25 2 - 0 35 28
2591 8 37 26 + 78 1 32
2592 8 27 8 + 25 58 15
2593 8 26 48 + 17 22 28
2594 8 27 17 + 25 52 43
2595 8 27 42 + 21 28 46
2596 8 27 27 + 17 17 4
2597 8 29 57 + 21 30 9
2598 8 30 3 + 21 29 18
2599 8 32 11 + 22 33 39
2600 8 34 45 + 52 42 55
2601 8 25 30 - 68 7 4
2602 8 35 4 + 52 49 53
2603 8 34 31 + 52 50 25
2604 8 33 23 + 29 32 19
2604 8 33 23 + 29 32 19
2604 8 33 36 + 29 29 58
2605 8 34 53 + 52 48 16
2606 8 35 34 + 52 47 19
2607 8 33 57 + 26 58 23
2608 8 35 17 + 28 28 24
2609 8 29 30 - 61 6 36
2610 8 33 23 - 16 8 55
2611 8 35 29 + 25 1 40
2612 8 33 50 - 13 10 27
2613 8 33 23 - 22 58 22
2614 8 42 48 + 72 58 36
2615 8 34 33 - 2 32 50
2616 8 35 34 - 1 51 3
2617 8 35 39 - 4 5 16
2618 8 35 54 + 0 42 28
2619 8 37 33 + 28 42 18
2620 8 37 28 + 24 56 49
2621 8 37 37 + 25 0 1
2622 8 38 11 + 24 53 43
2623 8 38 24 + 25 45 17
2624 8 38 10 + 19 43 34
2625 8 38 23 + 19 42 58
2626 8 35 31 - 40 40 20
2627 8 37 15 - 29 57 18
2628 8 40 23 + 23 32 23
2629 8 47 15 + 72 59 8
2630 8 47 6 + 73 0 0
2631 8 47 6 + 73 0 0
2632 8 40 24 + 19 40 12
2633 8 48 5 + 74 5 57
2634 8 48 26 + 73 58 2
2634 8 48 38 + 73 56 19
2635 8 38 26 - 34 46 18
2636 8 48 24 + 73 40 18
2637 8 41 13 + 19 41 25
2638 8 42 26 + 37 13 15
2639 8 43 38 + 50 12 22
2640 8 37 25 - 55 7 25
2641 8 47 57 + 72 53 47
2642 8 40 44 - 4 7 20
2643 8 42 9 + 19 31 20
2644 8 41 32 + 4 58 51
2645 8 39 3 - 46 13 38
2646 8 50 22 + 73 27 46
2647 8 42 43 + 19 39 4
2648 8 42 40 + 14 17 6
2649 8 44 8 + 34 43 3
2650 8 49 58 + 70 17 58
2651 8 43 55 + 11 46 16
2652 9 42 33 - 3 41 57
2653 8 54 56 + 78 23 39
2654 8 49 12 + 60 13 15
2655 8 55 38 + 78 13 25
2656 8 47 53 + 53 52 34
2657 8 45 16 + 9 38 45
2658 8 43 27 - 32 39 22
2659 8 42 36 - 45 0 0
2660 8 42 38 - 47 12 2
2661 8 45 60 + 12 37 11
2662 8 45 32 - 15 7 16
2663 8 45 8 - 33 47 42
2664 8 47 10 + 12 36 13
2665 8 46 1 - 19 18 12
2666 8 49 47 + 44 42 16
2667 8 48 27 + 19 1 11
2667 8 48 27 + 19 1 11
2667 8 48 30 + 19 2 37
2668 8 49 23 + 36 42 39
2669 8 46 19 - 52 56 6
2670 8 45 30 - 48 47 30
2671 8 46 12 - 41 52 38
2672 8 49 22 + 19 4 28
2673 8 49 24 + 19 4 29
2674 8 49 13 - 14 17 37
2675 8 52 5 + 53 37 2
2676 8 51 36 + 47 33 30
2677 8 50 1 + 19 0 37
2678 8 50 3 + 11 20 19
2679 8 51 33 + 30 51 54
2680 8 51 34 + 30 51 57
2681 8 53 33 + 51 18 47
2682 8 51 18 + 11 49 0
2683 8 52 41 + 33 25 12
2684 8 54 54 + 49 9 37
2685 8 55 35 + 58 44 5
2686 8 54 59 + 49 8 33
2686 8 55 1 + 49 8 32
2687 8 55 5 + 49 9 22
2687 8 55 6 + 49 9 22
2687 8 55 5 + 49 9 22
2687 8 55 6 + 49 9 22
2688 8 55 11 + 49 7 21
2689 8 55 25 + 49 6 55
2690 8 52 38 - 2 36 13
2691 8 54 46 + 39 32 21
2692 8 56 58 + 52 3 57
2693 8 56 59 + 51 20 52
2694 8 56 59 + 51 19 57
2695 8 54 27 - 3 4 1
2696 8 50 42 - 5 0 34
2697 8 54 59 - 2 59 16
2698 8 55 36 - 3 11 3
2699 8 55 49 - 3 7 38
2700 8 55 51 - 3 6 58
2701 8 59 6 + 53 46 14
2702 8 55 55 - 3 3 53
2703 8 55 47 - 3 18 23
2704 8 56 48 + 39 22 57
2705 8 56 0 - 3 0 51
2706 8 56 12 - 2 33 48
2707 8 56 6 - 3 3 57
2708 8 56 8 - 3 21 38
2709 8 56 13 - 3 14 33
2710 8 59 48 + 55 42 21
2711 8 57 24 + 17 17 17
2712 8 59 31 + 44 54 50
2713 8 57 21 + 2 55 17
2714 8 53 30 - 59 13 3
2715 9 8 6 + 78 5 9
2716 8 57 36 + 3 5 25
2717 8 57 1 - 24 40 26
2718 8 58 50 + 6 17 38
2719 9 0 16 + 35 43 40
2719 9 0 16 + 35 43 14
2720 8 59 8 + 11 8 59
2721 8 58 57 - 4 54 5
2722 8 58 46 - 3 42 35
2723 9 0 14 + 3 10 42
2724 9 1 2 + 35 45 45
2725 9 1 3 + 11 5 51
2726 9 4 57 + 59 56 0
2727 8 56 8 - 3 21 38
2728 9 1 41 + 11 5 1
2729 9 1 29 + 3 43 16
2730 9 2 16 + 16 50 18
2731 9 2 8 + 8 18 2
2732 9 13 25 + 79 11 16
2733 8 58 46 - 3 42 35
2734 9 3 2 + 16 51 51
2735 9 2 39 + 25 56 5
2735 9 2 42 + 25 56 20
2736 9 0 17 - 45 56 53
2737 9 3 60 + 21 54 23
2738 9 4 1 + 21 58 6
2739 9 6 3 + 51 44 40
2740 9 6 5 + 51 44 8
2741 9 3 17 + 18 15 38
2742 9 7 33 + 60 28 46
2742 9 9 58 + 62 14 49
2743 9 4 54 + 25 0 15
2744 9 4 39 + 18 27 51
2744 9 4 39 + 18 27 22
2745 9 4 39 + 18 15 28
2746 9 5 60 + 35 22 38
2747 9 5 18 + 18 26 34
2748 9 13 43 + 76 28 33
2749 9 5 21 + 18 18 49
2750 9 5 48 + 25 26 15
2751 9 5 32 + 18 15 43
2752 9 5 43 + 18 20 23
2753 9 7 8 + 25 20 28
2753 9 7 9 + 25 20 39
2754 9 5 11 - 19 5 5
2755 9 7 58 + 41 42 31
2756 9 9 1 + 53 50 55
2757 9 5 23 - 19 2 5
2758 9 5 31 - 19 2 34
2759 9 8 37 + 37 37 17
2760 9 15 42 + 76 22 57
2761 9 7 31 + 18 26 6
2762 9 9 54 + 50 25 6
2763 9 6 49 - 15 29 57
2764 9 8 17 + 21 26 35
2765 9 7 37 + 3 23 34
2766 9 8 47 + 29 51 55
2767 9 10 12 + 50 24 7
2768 9 11 37 + 60 2 11
2769 9 10 32 + 50 26 1
2770 9 9 34 + 33 7 27
2770 9 9 20 + 33 7 20
2771 9 10 40 + 50 22 45
2772 9 7 42 - 23 37 10
2773 9 9 44 + 7 10 27
2774 9 10 40 + 18 41 48
2775 9 10 20 + 7 2 14
2776 9 12 15 + 44 57 17
2777 9 10 42 + 7 12 26
2778 9 12 25 + 35 1 40
2779 9 12 28 + 35 3 14
2780 9 12 44 + 34 55 32
2781 9 11 28 - 14 49 2
2782 9 14 5 + 40 6 49
2783 9 13 39 + 29 59 35
2783 9 13 39 + 29 59 35
2783 9 13 33 + 30 0 1
2784 9 12 19 - 24 10 21
2785 9 15 15 + 40 55 5
2786 9 13 36 + 12 26 26
2787 9 19 18 + 69 12 13
2788 9 9 3 - 67 55 57
2788 9 2 40 - 68 13 36
2788 9 3 35 - 67 57 59
2789 9 14 60 + 29 43 49
2790 9 15 3 + 19 41 51
2791 9 15 2 + 17 35 34
2792 9 12 27 - 42 25 39
2793 9 16 47 + 34 25 56
2794 9 16 2 + 17 35 22
2795 9 16 4 + 17 37 42
2796 9 16 42 + 30 54 58
2797 9 16 22 + 17 43 38
2798 9 17 23 + 42 0 0
2799 9 17 31 + 41 59 38
2800 9 18 35 + 52 30 53
2801 9 16 44 + 19 56 7
2802 9 16 41 + 18 57 50
2803 9 16 44 + 18 57 16
2804 9 16 50 + 20 11 54
2805 9 20 20 + 64 6 10
2806 9 16 57 + 20 4 16
2807 9 17 1 + 20 2 10
2807 9 16 58 + 20 1 45
2808 9 12 3 - 64 51 45
2809 9 17 7 + 20 4 9
2810 9 22 5 + 71 50 38
2810 9 22 5 + 71 50 38
2810 9 21 58 + 71 52 0
2811 9 16 11 - 16 18 45
2812 9 17 41 + 19 55 9
2813 9 17 45 + 19 54 25
2814 9 21 12 + 64 15 7
2815 9 16 20 - 23 38 2
2816 9 7 33 + 60 28 46
2817 9 17 11 - 4 45 10
2818 9 16 10 - 36 37 34
2819 9 18 9 + 16 11 53
2820 9 21 46 + 64 15 31
2820 9 21 30 + 64 14 18
2821 9 16 48 - 26 49 0
2822 9 13 50 - 69 38 39
2823 9 19 17 + 34 0 30
2824 9 19 2 + 26 16 13
2825 9 19 22 + 33 44 35
2826 9 19 24 + 33 37 25
2827 9 19 19 + 33 52 51
2828 9 19 35 + 33 53 19
2829 9 19 52 + 33 38 58
2830 9 19 41 + 33 44 17
2831 9 19 46 + 33 44 41
2832 9 19 47 + 33 44 59
2833 9 19 58 + 33 55 39
2834 9 20 3 + 33 42 38
2835 9 17 53 - 22 21 19
2836 9 13 45 - 69 19 59
2837 9 18 23 - 16 28 53
2838 9 20 43 + 39 18 59
2839 9 20 36 + 33 39 4
2840 9 20 53 + 35 22 6
2841 9 22 2 + 50 58 35
2842 9 15 36 - 63 4 10
2843 9 20 29 + 18 55 34
2844 9 21 48 + 40 9 7
2845 9 18 37 - 38 0 35
2846 9 19 40 - 14 40 32
2847 9 20 9 - 16 31 2
2848 9 20 10 - 16 31 32
2849 9 19 23 - 40 31 13
2850 9 20 57 - 4 56 22
2851 9 20 30 - 16 29 43
2852 9 23 15 + 40 9 52
2853 9 23 17 + 40 12 1
2854 9 24 3 + 49 12 14
2855 9 21 28 - 11 54 37
2856 9 24 16 + 49 14 57
2857 9 24 38 + 49 21 26
2858 9 22 55 + 3 9 27
2859 9 24 19 + 34 30 48
2860 9 24 53 + 41 3 36
2861 9 23 37 + 2 8 10
2862 9 24 55 + 26 46 31
2863 9 23 37 - 10 25 59
2864 9 24 15 + 5 56 24
2865 9 23 30 - 23 9 41
2866 9 22 7 - 51 6 8
2867 9 21 25 - 58 18 40
2868 9 23 27 - 10 25 44
2869 9 23 37 - 10 25 59
2870 9 27 54 + 57 22 33
2871 9 25 39 + 11 26 38
2872 9 25 43 + 11 25 58
2873 9 25 49 + 11 27 17
2874 9 25 48 + 11 25 33
2875 9 25 49 + 11 25 56
2876 9 25 14 - 6 43 0
2877 9 25 47 + 2 13 43
2878 9 25 47 + 2 5 24
2879 9 25 23 - 11 39 8
2880 9 29 35 + 62 29 28
2881 9 25 55 - 11 59 44
2881 9 25 54 - 11 59 33
2882 9 26 36 + 7 57 15
2883 9 25 18 - 34 6 8
2884 9 26 25 - 11 33 20
2885 9 27 18 + 23 1 12
2886 9 26 39 - 21 44 18
2887 9 23 24 - 63 48 44
2888 9 26 20 - 28 2 10
2889 9 27 13 - 11 38 36
2890 9 26 30 - 14 31 44
2891 9 26 57 - 24 46 58
2892 9 32 53 + 67 37 3
2893 9 30 17 + 29 32 25
2894 9 29 30 + 7 43 6
2895 9 32 25 + 57 28 59
2896 9 30 17 + 23 39 49
2897 9 29 46 + 2 12 27
2898 9 29 46 + 2 3 54
2899 9 27 3 - 56 6 20
2900 9 30 15 + 4 8 37
