NI RH RM RS V DG DM DS
848 13 7 2 + 16 0 24
849 13 7 39 - 0 56 33
850 13 7 50 - 0 52 5
851 13 8 34 + 21 3 0
852 13 7 37 + 60 9 28
853 13 8 42 + 52 46 28
854 13 9 50 + 24 34 39
855 13 10 37 - 4 29 7
856 13 10 42 + 20 32 13
857 13 13 50 + 17 4 33
858 13 14 52 + 17 13 38
859 13 14 57 + 17 13 33
860 13 15 4 + 24 37 6
861 13 15 8 + 34 19 42
862 13 16 15 + 20 2 51
863 13 17 12 - 17 15 17
864 13 17 8 + 20 41 33
865 13 17 35 - 5 50 0
866 13 17 17 + 20 41 29
867 13 17 20 + 20 38 15
868 13 17 29 + 20 36 44
868 13 17 30 + 20 37 15
869 13 17 30 + 20 41 4
870 13 17 31 + 20 35 59
871 13 17 59 + 4 24 15
872 13 18 19 + 6 20 10
873 13 18 16 + 4 27 54
874 13 19 1 - 27 37 42
875 13 17 8 + 57 32 24
876 13 18 35 + 4 29 10
877 13 19 0 + 6 5 0
878 13 19 0 + 6 7 18
879 13 19 40 - 27 25 45
880 13 19 8 + 6 6 6
881 13 19 56 + 15 51 1
882 13 20 7 + 15 53 53
883 13 20 36 + 34 8 19
884 13 21 55 - 12 43 42
885 13 22 31 + 21 19 0
886 13 23 57 - 4 23 41
887 13 24 12 - 12 27 38
888 13 24 51 + 13 44 17
889 13 26 38 + 11 52 12
890 13 28 25 - 16 5 31
891 13 29 60 + 0 18 21
892 13 31 46 - 2 42 45
893 13 31 47 - 2 36 41
894 13 32 5 + 17 2 58
895 13 32 17 + 35 39 30
896 13 34 10 + 4 52 8
897 13 34 19 + 17 50 53
898 13 34 10 + 13 16 48
899 13 34 59 - 8 5 28
900 13 34 43 + 9 20 13
901 13 35 43 + 13 19 49
902 13 36 1 + 49 57 38
903 13 38 26 - 0 13 39
904 13 38 32 + 0 32 26
905 13 40 3 + 23 8 36
906 13 40 10 + 23 20 27
907 13 39 23 + 51 3 5
908 13 41 19 - 4 20 40
909 13 40 51 + 24 28 23
910 13 41 8 + 23 16 53
911 13 41 25 + 23 14 53
912 13 41 29 + 23 14 43
913 13 41 30 + 23 10 1
914 13 41 41 + 23 11 24
915 13 43 27 - 17 19 56
916 13 42 38 + 24 27 56
917 13 42 32 + 55 38 12
918 13 42 39 + 55 37 11
919 13 42 57 + 55 36 12
920 13 45 25 - 12 34 27
921 13 43 8 + 55 39 2
922 13 43 14 + 55 36 10
923 13 43 16 + 55 36 55
924 13 45 38 - 12 27 19
925 13 43 20 + 55 35 52
926 13 43 39 + 55 37 52
927 13 45 52 - 12 27 50
928 13 43 45 + 55 38 1
929 13 43 46 + 55 38 46
930 13 43 53 + 55 39 22
931 13 43 49 + 55 37 24
932 13 43 52 + 55 38 47
933 13 45 16 + 23 13 9
934 13 44 3 + 55 38 59
935 13 44 5 + 55 36 55
936 13 44 3 + 55 38 59
937 13 44 29 + 55 37 46
938 13 44 31 + 55 37 37
939 13 47 43 + 3 24 43
940 13 47 58 + 3 27 1
941 13 48 36 + 24 0 56
942 13 47 41 + 56 37 19
943 13 50 32 + 3 11 39
944 13 51 31 + 14 5 30
945 13 47 8 + 72 4 12
946 13 52 8 + 14 6 59
947 13 52 36 + 0 49 5
948 13 52 27 + 14 5 28
949 13 52 17 + 22 31 19
950 13 52 27 + 14 29 30
950 13 52 26 + 14 29 22
951 13 51 47 + 50 58 40
952 13 53 42 + 3 22 39
953 13 54 57 - 30 17 0
954 13 49 56 + 71 9 53
955 13 55 44 - 30 15 43
956 13 54 40 + 20 43 11
956 13 54 41 + 20 42 59
957 13 56 8 - 30 14 17
958 13 55 38 + 4 59 0
959 13 56 3 + 13 30 23
960 13 55 59 + 17 29 58
960 13 56 0 + 17 30 42
961 13 55 47 + 25 50 24
962 13 57 13 + 12 1 17
963 13 57 25 + 17 24 30
964 13 57 41 + 17 30 33
965 13 57 47 + 17 30 40
966 13 58 14 + 5 24 27
967 13 58 23 + 14 27 27
968 14 0 37 - 2 54 31
968 14 0 38 - 2 54 21
969 14 1 46 - 4 10 47
970 14 2 34 + 14 33 9
971 14 3 53 - 10 8 23
972 14 4 26 - 17 13 39
973 14 6 29 - 5 28 54
974 14 6 34 - 5 29 34
975 14 7 9 + 15 19 7
976 14 8 43 - 1 9 44
977 14 8 42 - 3 0 9
978 14 8 58 - 2 58 25
979 14 9 32 + 14 49 54
980 14 10 22 - 7 20 31
981 14 10 28 - 4 10 19
982 14 9 59 + 17 41 48
983 14 10 4 + 17 44 4
984 14 10 8 + 18 21 51
985 14 11 33 - 3 13 11
986 14 11 26 + 1 17 13
987 14 11 32 + 19 10 19
988 14 14 32 + 3 11 27
989 14 14 51 + 3 7 52
990 14 15 49 + 39 47 54
991 14 17 49 - 13 52 23
992 14 18 15 + 0 53 26
993 14 18 19 + 11 12 59
994 14 18 23 + 11 11 43
995 14 16 31 + 57 48 36
996 14 17 22 + 57 37 48
997 14 19 25 - 4 29 24
998 14 19 59 - 4 27 8
998 14 20 0 - 4 27 10
999 14 19 33 + 17 52 33
1000 14 19 40 + 17 51 18
1001 14 20 40 + 5 25 40
1002 14 20 42 + 5 29 9
1003 14 21 30 + 5 4 23
1004 14 20 50 + 17 39 46
1004 14 20 50 + 17 39 54
1005 14 19 27 + 71 35 17
1006 14 22 59 + 23 47 41
1007 14 24 37 + 4 33 34
1008 14 23 43 + 28 20 50
1008 14 23 42 + 28 20 47
1009 14 26 18 + 12 21 12
1010 14 27 20 + 1 1 33
1011 14 28 4 + 1 0 25
1012 14 27 10 + 30 56 54
1013 14 27 51 + 25 50 19
1014 14 28 19 + 13 46 50
1015 14 28 19 + 15 25 13
1016 14 27 32 + 4 49 17
1017 14 28 7 + 25 52 6
1018 14 28 13 + 25 49 48
1019 14 28 13 + 25 56 50
1020 14 28 49 + 26 1 58
1021 14 29 17 + 20 39 18
1022 14 30 2 + 3 46 22
1023 14 32 25 - 35 48 13
1024 14 31 27 + 3 0 28
1025 14 31 28 + 7 3 47
1026 14 30 10 + 31 12 55
1027 14 29 48 + 53 57 56
1028 14 33 16 + 41 39 3
1029 14 32 27 + 49 54 16
1030 14 32 39 + 31 40 13
1031 14 34 24 + 48 2 17
1032 14 34 39 + 47 58 7
1033 14 34 42 + 47 56 16
1034 14 37 14 + 14 39 57
1035 14 38 10 + 9 20 12
1036 14 38 23 + 18 6 41
1037 14 38 25 + 18 11 4
1038 14 39 27 + 11 55 44
1039 14 40 29 + 3 26 0
1040 14 40 23 + 9 28 39
1041 14 40 38 + 3 22 38
1042 14 40 39 + 3 28 11
1043 14 40 43 + 3 22 29
1044 14 41 29 + 9 25 54
1045 14 40 9 + 42 46 45
1046 14 37 53 + 69 0 52
1047 14 42 20 + 19 11 31
1048 14 42 58 + 4 53 27
1049 14 39 33 + 62 0 11
1050 14 44 7 + 18 0 48
1051 14 44 12 + 19 1 14
1052 14 44 14 + 20 36 53
1053 14 45 43 + 16 56 49
1054 14 46 31 + 1 16 31
1055 14 47 26 - 13 42 58
1056 14 45 49 + 50 23 36
1057 14 45 49 + 50 23 36
1058 14 49 12 + 17 1 17
1059 14 50 43 - 0 52 31
1060 14 51 47 - 7 13 55
1061 14 51 14 + 18 45 27
1062 14 51 18 + 18 41 15
1063 14 52 11 + 4 40 53
1064 14 52 11 + 4 40 53
1065 14 49 21 + 63 16 15
1066 14 53 3 + 3 17 46
1067 14 53 5 + 3 19 54
1068 14 53 33 + 3 4 40
1069 14 50 46 + 54 24 42
1070 14 53 51 + 3 29 7
1071 14 54 12 + 4 45 2
1072 14 54 13 + 4 50 32
1073 14 54 14 + 4 47 40
1074 14 51 57 + 51 15 54
1075 14 54 49 + 18 6 21
1076 14 54 59 + 18 2 15
1077 14 57 22 - 19 12 53
1078 14 56 29 + 9 21 15
1079 14 56 36 + 9 22 10
1080 14 57 60 - 6 43 22
1081 14 58 55 - 19 14 21
1082 14 58 52 + 7 0 28
1083 14 55 34 + 68 24 31
1084 15 1 15 - 7 28 32
1085 15 2 43 + 17 15 11
1086 15 3 29 + 17 6 54
1087 15 6 44 + 3 46 38
1088 15 6 48 + 3 47 31
1089 15 7 26 + 7 7 2
1090 15 5 43 + 42 41 0
1091 15 8 13 - 11 8 26
1092 15 7 36 + 9 21 32
1093 15 7 36 + 14 32 55
1094 15 7 42 + 14 37 42
1094 15 7 43 + 14 37 40
1094 15 7 42 + 14 37 21
1095 15 8 35 + 13 40 13
1095 15 8 34 + 13 40 31
1096 15 8 22 + 19 11 31
1097 15 8 31 + 19 11 4
1098 15 6 26 + 55 36 5
1099 15 6 55 + 56 30 31
1100 15 6 21 + 62 58 50
1101 15 10 56 + 5 44 44
1102 15 11 5 + 4 17 38
1103 15 11 36 + 19 12 30
1104 15 12 50 - 5 3 22
1105 15 13 14 + 4 17 17
1106 15 13 56 + 4 42 37
1107 15 14 9 + 4 42 53
1108 15 16 50 - 45 38 56
1109 15 17 4 + 5 15 24
1110 15 12 5 + 67 21 44
1111 15 9 31 + 54 30 23
1112 15 17 47 + 7 13 7
1113 15 18 15 + 12 29 19
1114 15 11 16 + 75 28 30
1115 15 22 19 - 4 28 28
1116 15 21 55 + 8 25 26
1117 15 24 23 + 15 29 21
1118 15 24 59 + 13 26 44
1119 15 25 45 - 3 39 31
1119 15 25 44 - 3 39 12
1120 15 26 11 + 18 52 19
1120 15 26 11 + 18 52 30
1121 15 27 44 + 6 48 16
1122 15 29 23 + 7 37 3
1123 15 28 54 + 42 53 55
1124 15 30 1 + 23 38 18
1125 15 33 6 - 1 37 42
1126 15 35 1 + 4 59 26
1127 15 34 57 + 23 30 9
1128 15 37 53 - 1 44 5
1129 15 32 1 + 68 14 48
1130 15 37 44 + 17 14 40
1131 15 38 52 + 12 4 52
1132 15 40 7 + 20 40 49
1133 15 41 12 + 15 34 24
1134 15 44 58 + 16 57 46
1134 15 44 60 + 16 57 33
1135 15 45 35 + 17 42 0
1136 15 47 34 - 1 32 41
1137 15 48 33 + 8 35 17
1138 15 48 16 + 26 12 22
1139 15 29 26 + 82 35 4
1140 15 49 25 + 19 6 52
1141 15 49 47 + 12 23 57
1142 15 50 26 + 18 8 24
1143 15 30 56 + 82 27 23
1144 15 51 22 + 43 25 6
1145 15 44 8 + 72 25 51
1146 15 48 22 + 69 23 10
1147 15 50 12 + 69 33 36
1148 15 57 8 + 22 24 18
1149 15 58 8 + 12 4 11
1150 15 58 18 + 15 52 30
1151 15 58 32 + 17 26 27
1152 15 56 43 + 48 5 41
1153 15 57 3 + 48 10 7
1154 15 52 29 + 70 22 32
1155 16 0 36 + 15 41 9
1156 16 0 37 + 19 43 26
1157 16 0 56 + 15 31 36
1158 16 1 34 + 1 42 27
1159 16 1 2 + 15 25 11
1160 16 1 3 + 15 29 42
1161 16 1 17 + 15 38 45
1162 16 1 16 + 17 40 39
1163 16 1 31 + 15 30 16
1164 15 55 3 + 70 35 13
1165 16 2 8 + 15 41 47
1165 16 2 8 + 15 41 47
1165 16 2 9 + 15 41 34
1166 16 2 9 + 26 19 30
1166 16 2 9 + 26 19 45
1167 16 3 53 + 14 56 46
1168 16 3 56 + 14 54 11
1168 16 3 56 + 14 54 11
1168 16 3 56 + 14 53 39
1169 16 4 13 + 13 44 39
1170 16 4 32 + 17 43 17
1171 16 4 52 + 17 58 43
1172 16 4 60 + 17 52 13
1173 16 5 13 + 17 25 21
1174 16 5 27 + 15 1 31
1175 16 5 23 + 18 9 47
1176 16 5 31 + 17 57 46
1177 16 5 20 + 18 18 55
1178 16 5 33 + 17 36 7
1179 16 5 24 + 17 45 26
1179 16 5 22 + 17 45 16
1180 16 5 30 + 18 8 58
1181 16 5 34 + 17 35 37
1182 16 5 37 + 17 48 10
1183 16 5 38 + 17 46 3
1184 16 5 43 + 17 47 21
1185 16 5 45 + 17 43 2
1186 16 5 44 + 17 21 44
1187 15 59 10 + 70 33 27
1188 16 6 7 + 17 27 37
1189 16 6 15 + 18 10 57
1190 16 5 52 + 18 13 14
1191 16 6 29 + 18 16 8
1192 16 6 33 + 17 46 34
1193 16 6 32 + 17 42 50
1194 16 6 39 + 17 47 0
1195 16 6 41 + 17 11 31
1196 16 7 58 + 10 46 48
1197 16 8 17 + 7 32 21
1198 16 8 36 + 12 19 50
1199 16 10 34 + 10 2 24
1200 16 4 29 + 69 39 58
1201 16 5 42 + 69 35 38
1202 16 12 57 + 9 52 4
1203 16 15 16 - 22 20 18
1204 16 7 15 + 69 55 54
1205 16 14 16 + 9 32 15
1206 16 15 13 + 11 17 50
1207 16 19 26 - 29 38 36
1208 16 15 48 + 36 31 39
1209 16 18 40 + 15 33 32
1210 16 14 30 + 62 32 10
1211 16 16 52 + 53 0 22
1212 16 15 31 + 64 13 31
1213 16 22 10 - 1 30 51
1214 16 16 11 + 65 58 7
1215 16 15 35 + 68 23 50
1216 16 15 55 + 68 20 58
1217 16 16 4 + 69 40 35
1218 16 16 37 + 68 12 11
1219 16 24 27 + 19 29 1
1220 16 29 38 + 8 27 2
1221 16 34 42 + 46 23 30
1222 16 35 9 + 46 12 49
1223 16 35 42 + 49 13 16
1224 16 42 56 + 19 15 18
1225 16 36 52 + 67 37 45
1226 16 41 7 + 46 0 14
1227 16 40 8 + 58 37 2
1228 16 42 6 + 65 35 8
1229 16 44 59 + 51 18 29
1230 16 45 1 + 51 15 36
1231 16 46 59 + 58 25 22
1232 16 49 42 + 46 5 22
1233 16 48 24 + 63 8 0
1234 16 52 51 + 56 52 42
1235 16 52 3 + 63 6 58
1236 16 58 30 + 20 2 27
1237 16 56 16 + 55 1 37
1238 17 0 30 + 23 4 36
1239 17 0 45 + 23 2 40
1240 17 0 60 + 61 3 0
1241 17 1 28 + 63 41 28
1242 17 8 43 + 4 2 59
1243 17 10 25 + 10 46 2
1244 17 10 34 + 36 18 14
1245 17 12 37 + 38 1 13
1246 17 14 12 + 20 14 13
1247 17 16 22 - 12 46 53
1248 17 11 40 + 59 59 42
1249 17 14 55 + 35 31 14
1250 17 14 29 + 57 25 2
1251 17 10 13 + 72 24 35
1252 17 15 50 + 57 22 1
1253 17 19 55 + 16 39 38
1254 17 11 33 + 72 24 6
1255 17 23 5 + 12 41 46
1256 17 23 47 + 26 29 11
1257 17 27 8 - 7 5 37
1258 17 27 17 + 58 29 7
1259 17 27 25 + 58 31 0
1259 17 27 27 + 58 30 59
1260 17 27 32 + 58 28 35
1261 17 23 21 + 71 15 50
1261 17 23 26 + 71 15 48
1262 17 33 2 + 43 45 35
1263 17 33 7 + 43 49 18
1264 17 33 17 + 43 37 44
1265 17 36 39 + 42 5 20
1266 17 45 36 - 46 5 19
1267 17 38 46 + 59 22 21
1268 17 50 39 + 17 12 36
1269 17 52 6 + 21 34 8
1270 17 47 57 + 62 13 27
1271 18 5 13 - 24 24 38
1272 18 4 56 + 25 7 45
1273 18 5 3 + 25 8 2
1274 18 9 50 - 23 38 54
1275 18 10 7 - 23 45 42
1276 18 10 46 - 7 12 40
1277 18 10 27 + 31 0 12
1278 18 10 42 + 31 8 59
1279 18 11 15 + 36 0 27
1280 18 12 18 + 25 39 46
1281 18 11 38 + 35 59 52
1282 18 14 5 + 21 6 6
1283 18 17 17 - 19 45 44
1284 18 17 40 - 19 40 19
1285 18 16 10 + 25 6 8
1286 18 16 14 + 55 35 24
1287 18 31 26 - 10 47 42
1288 18 29 23 + 39 42 50
1289 18 30 2 + 39 57 53
1290 18 38 28 - 24 6 48
1291 18 33 52 + 49 16 43
1292 18 44 40 - 27 48 54
1293 18 41 38 + 56 19 2
1294 18 49 51 + 40 12 33
1295 18 54 37 - 8 49 35
1296 18 53 19 + 33 3 59
1297 19 17 23 - 39 36 45
1298 19 18 35 - 1 35 46
1299 19 22 42 + 20 44 24
1300 19 24 3 + 53 37 27
1301 19 26 32 + 50 7 33
1302 19 30 53 + 35 47 6
1303 19 31 30 + 35 52 33
1304 19 35 36 + 41 6 36
1305 19 39 18 + 20 11 40
1306 19 41 42 + 37 41 30
1307 19 42 29 + 27 45 6
1308 19 45 5 - 14 43 17
1309 20 3 1 - 17 13 57
1310 20 10 1 + 34 58 6
1311 20 10 48 + 41 10 24
1312 20 16 52 + 18 2 45
1313 20 18 44 - 16 56 46
1314 20 17 47 + 25 5 48
1315 20 17 22 + 30 41 17
1316 20 22 26 + 6 30 6
1317 20 23 16 + 0 39 53
1318 20 22 14 + 40 15 24
1318 20 16 36 + 41 49 0
1318 20 27 54 + 40 0 0
1319 20 26 1 - 18 30 15
1320 20 26 26 + 2 54 34
1321 20 28 11 - 18 17 31
1322 20 30 8 - 15 13 40
1323 20 30 30 - 15 10 57
1324 20 32 12 - 9 3 20
1325 20 32 50 + 9 55 39
1326 20 32 59 + 9 52 26
1327 20 35 41 - 0 0 19
1328 20 41 57 - 19 37 59
1329 20 43 42 + 15 35 16
1330 20 46 15 - 14 1 22
1331 20 47 49 - 9 59 44
1332 20 51 51 - 13 42 40
1333 20 52 17 - 16 17 9
1334 20 52 17 - 16 17 9
1335 20 53 6 - 16 20 6
1336 20 55 5 - 18 2 19
1337 20 56 53 - 16 35 6
1338 20 56 58 - 16 29 32
1339 20 57 56 - 17 56 32
1340 20 56 8 + 31 2 54
1341 21 0 17 - 13 58 33
1342 21 0 26 - 14 29 42
1343 21 1 1 - 15 24 13
1344 21 1 17 - 13 22 49
1345 21 1 22 - 13 23 51
1346 21 1 37 - 13 57 37
1347 21 1 44 - 13 18 46
1348 21 1 44 - 13 21 25
1349 21 1 50 - 13 15 54
1350 21 1 52 - 13 51 8
1351 21 1 52 - 13 12 5
1352 21 1 55 - 13 23 4
1353 21 1 56 - 13 16 21
1354 21 1 52 - 13 51 8
1355 21 1 58 - 13 10 21
1356 21 2 53 - 15 48 43
1357 21 5 57 - 10 42 57
1358 21 6 30 - 16 12 13
1359 21 8 43 + 12 29 2
1360 21 10 50 + 5 4 18
1361 21 11 29 + 5 3 17
1362 21 11 53 + 2 19 46
1363 21 10 40 + 46 52 12
1364 21 13 25 + 2 46 13
1365 21 13 56 + 2 33 55
1366 21 14 8 + 1 46 36
1367 21 14 10 + 2 59 40
1368 21 14 13 + 2 10 42
1369 21 12 9 + 47 46 0
1370 21 15 14 + 2 11 32
1371 21 20 16 - 4 52 34
1372 21 20 17 - 5 36 17
1373 21 20 37 + 1 5 35
1374 21 21 3 + 1 42 49
1375 21 20 60 + 3 59 9
1376 21 24 42 - 5 44 34
1377 21 25 27 + 4 18 51
1378 21 22 52 + 55 27 50
1379 21 26 1 + 3 5 50
1380 21 27 11 + 2 43 5
1381 21 27 34 - 1 11 17
1382 21 22 8 + 18 39 56
1383 21 27 40 - 1 6 8
1384 21 27 53 - 1 22 7
1385 21 28 51 - 1 4 11
1386 21 29 37 - 21 11 44
1387 21 29 34 - 1 21 2
1388 21 29 52 - 0 37 51
1389 21 32 8 - 18 1 9
1390 21 32 25 - 1 51 43
1391 21 35 0 - 0 30 41
1392 21 35 33 + 35 23 55
1393 21 40 14 - 22 24 40
1394 21 40 13 + 14 38 1
1395 21 41 41 + 4 6 18
1396 21 38 54 + 57 29 20
1396 21 35 30 + 57 23 0
1396 21 34 30 + 57 28 0
1397 21 44 2 - 4 53 4
1398 21 45 51 + 9 28 32
1399 21 46 9 + 4 24 10
1400 21 44 16 + 52 58 0
1401 21 46 60 + 1 42 41
1402 21 44 58 + 53 15 48
1403 21 50 29 - 2 42 56
1404 21 50 56 - 9 15 58
1405 21 50 50 + 2 1 17
1406 21 51 5 + 1 59 15
1407 21 52 23 + 3 25 36
1407 21 52 23 + 3 25 43
1408 21 53 9 - 13 20 47
1409 21 53 20 - 7 29 59
1410 21 56 2 - 2 53 59
1411 21 56 1 - 1 31 0
1412 21 58 19 - 17 10 36
1413 21 58 25 - 3 7 29
1413 21 58 27 - 3 6 6
1414 21 58 18 + 8 25 26
1415 21 58 43 + 1 21 1
1416 21 58 50 + 1 27 5
1417 22 0 22 - 13 8 49
1418 22 1 60 + 4 23 5
1419 22 2 59 - 9 55 14
1420 22 2 32 + 19 45 0
1421 22 3 4 - 9 58 40
1422 22 3 0 + 2 35 58
1423 22 3 13 + 4 17 53
1424 22 3 9 + 11 11 52
1425 22 3 24 + 2 35 43
1426 22 3 53 - 9 54 35
1427 22 3 35 + 15 6 26
1428 22 4 28 + 2 37 52
1429 22 7 3 + 10 6 32
1430 22 7 30 - 13 34 51
1431 22 7 40 - 13 30 48
1432 22 10 4 + 3 41 24
1433 22 12 11 - 12 45 54
1434 22 10 30 + 52 50 0
1435 22 13 26 - 22 5 47
1436 22 13 51 - 10 11 29
1437 22 15 45 + 2 3 57
1438 22 16 29 - 21 25 51
1439 22 16 40 - 21 29 8
1440 22 16 33 - 16 0 59
1441 22 15 19 + 37 18 3
1442 22 16 6 + 53 59 30
1443 22 19 4 - 20 56 24
1444 22 22 24 + 5 8 23
1445 22 25 30 - 17 14 37
1446 22 29 5 - 1 11 3
1447 22 29 60 - 5 7 10
1448 22 34 32 - 12 56 1
1449 22 35 7 - 8 45 56
1450 22 37 58 + 34 32 9
1451 22 46 7 - 10 22 13
1452 22 45 59 + 10 52 5
1453 22 46 54 - 13 26 58
1454 22 42 25 + 80 26 35
1455 22 53 46 + 1 22 21
1456 22 55 18 - 12 43 55
1457 22 55 24 - 5 33 45
1458 22 56 41 - 7 22 47
1459 22 57 10 - 36 27 45
1460 22 57 4 + 4 40 39
1461 22 58 34 + 15 10 24
1462 22 58 37 + 8 26 28
1463 22 59 21 - 10 31 51
1464 23 3 11 - 8 59 19
1464 23 3 12 - 8 59 32
1465 23 2 54 + 16 34 57
1466 23 3 39 - 2 46 32
1467 23 4 50 - 3 13 52
1468 23 5 7 - 3 12 19
1469 23 6 29 - 13 32 11
1470 23 5 10 + 60 14 32
1471 23 8 45 - 12 38 21
1472 23 9 7 + 17 15 35
1473 23 11 5 + 29 38 35
1474 23 12 51 + 5 48 21
1475 23 14 2 - 28 25 18
1476 23 14 16 + 30 33 7
1477 23 17 12 - 6 54 42
1478 23 18 14 + 10 17 52
1479 23 18 46 - 10 23 55
1480 23 18 59 + 11 20 31
1481 23 19 25 + 5 54 21
1482 23 20 49 + 1 44 22
1483 23 22 33 + 11 19 46
1484 23 22 40 + 11 23 6
1485 23 22 48 + 11 22 24
1486 23 23 54 + 9 40 6
1487 23 24 20 + 14 38 49
1488 23 25 39 + 15 21 14
1489 23 26 32 - 12 30 59
1490 23 59 11 - 4 7 37
1491 23 29 25 - 16 18 58
1492 23 30 36 - 3 2 22
1493 23 30 27 + 14 27 30
1494 23 30 46 - 12 43 27
1495 23 30 48 - 13 29 7
1496 23 30 53 - 2 56 2
1497 23 28 50 + 11 59 13
1498 23 31 54 - 5 0 23
1499 23 31 57 - 13 26 22
1500 23 33 10 + 4 33 9
1501 23 34 40 - 3 9 13
1502 23 36 20 + 75 38 51
1503 23 38 27 + 4 48 5
1504 23 41 20 + 4 1 6
1505 23 41 37 - 3 33 53
1506 23 44 48 + 4 44 10
1507 23 45 33 + 1 41 21
1508 23 45 55 + 12 3 40
1509 23 47 17 - 15 18 26
1510 23 50 33 + 2 4 29
1510 23 50 33 + 2 4 20
1511 23 51 0 + 27 3 46
1512 23 51 1 + 27 1 38
1513 23 53 29 + 11 19 4
1514 23 54 17 - 13 35 11
1515 23 56 4 - 0 59 19
1516 23 56 7 - 0 55 1
1517 23 56 19 - 0 18 20
1518 23 57 6 + 12 27 56
1519 23 57 8 + 12 27 29
1520 23 57 55 - 14 2 20
1521 23 58 60 - 7 8 46
1522 23 59 3 + 1 43 13
1523 23 59 7 + 6 52 25
1524 23 59 11 - 4 7 37
1525 23 59 16 + 46 53 22
1526 0 1 32 + 11 20 48
1527 0 2 22 + 4 5 25
1528 0 5 5 - 7 7 5
1529 0 5 13 - 11 30 8
1530 0 7 19 + 32 36 33
1531 0 9 36 - 32 16 36
1532 0 9 53 - 64 22 16
1533 0 10 37 - 7 24 55
1534 0 13 45 + 48 9 7
1535 0 13 57 + 48 9 27
1536 0 14 19 + 48 8 38
1537 0 15 50 - 39 15 39
1538 0 18 1 + 30 1 40
1539 0 18 22 + 30 4 44
1540 0 19 49 + 23 46 21
1541 0 20 2 + 22 0 2
1542 0 20 41 + 22 35 34
1543 0 20 56 + 21 51 56
1544 0 21 18 + 23 5 27
1545 0 21 21 + 21 59 2
1546 0 21 29 + 22 30 23
1547 0 21 36 + 22 1 24
1548 0 21 55 + 22 0 25
1549 0 22 50 + 6 57 53
1550 0 24 28 + 38 11 7
1551 0 27 36 + 8 52 39
1552 0 29 44 + 21 28 35
1553 0 32 40 - 25 36 32
1554 0 32 50 - 32 1 53
1555 0 34 33 - 30 1 3
1556 0 35 6 - 9 34 0
1557 0 35 34 - 2 52 33
1558 0 35 47 - 25 22 28
1559 0 36 52 + 23 59 6
1560 0 37 40 + 2 40 18
1561 0 38 32 - 24 20 25
1562 0 38 34 - 24 16 26
1563 0 39 0 - 9 0 54
1564 0 39 5 + 6 1 16
1565 0 39 26 + 6 44 3
1566 0 39 33 + 6 48 56
1567 0 39 26 + 6 44 3
1568 0 39 56 + 6 50 57
1569 0 40 28 + 6 43 11
1570 0 40 34 + 6 45 12
1571 0 40 38 - 0 19 49
1572 0 41 12 + 16 14 18
1573 0 42 10 - 23 35 32
1574 0 43 4 - 22 14 46
1575 0 43 33 - 4 7 0
1575 0 43 34 - 4 7 10
1576 0 44 14 - 25 6 33
1577 0 43 34 - 8 11 8
1578 0 44 26 - 25 4 35
1579 0 45 32 - 26 33 52
1580 0 46 21 + 29 56 14
1581 0 45 46 - 25 55 10
1582 0 46 17 - 24 16 47
1583 0 47 10 + 23 4 28
1584 0 47 19 + 27 49 42
1585 0 47 14 + 23 3 15
1586 0 47 57 + 22 22 24
1587 0 48 43 - 23 33 42
1588 0 50 58 - 23 33 31
1589 0 51 59 - 34 25 19
1590 0 52 48 + 56 37 54
1591 0 52 7 - 22 40 49
1592 0 53 27 + 5 46 11
1593 0 54 40 + 32 31 11
1594 0 53 45 - 47 38 52
1595 0 53 47 - 45 11 11
1596 0 54 43 + 21 31 23
1597 0 53 32 - 58 6 26
1598 0 54 42 + 5 46 27
1599 0 54 33 - 23 29 40
1600 0 55 4 - 23 31 28
1601 0 55 35 - 24 9 12
1602 0 55 52 - 9 59 7
1603 0 56 60 - 45 24 46
1604 0 58 0 - 16 13 0
1605 0 57 37 - 48 54 10
1606 0 58 22 - 12 10 47
1607 0 58 49 + 0 35 14
1608 0 59 24 - 34 19 47
1609 0 59 47 - 40 20 1
1610 1 1 43 - 15 34 4
1611 0 59 49 - 72 19 57
1612 0 59 60 - 72 22 15
1613 1 4 48 + 2 7 7
1614 1 5 7 + 33 11 25
1615 1 4 7 - 51 7 58
1616 1 4 56 - 27 25 44
1617 1 4 17 - 51 1 57
1618 1 5 56 + 32 24 46
1619 1 7 22 + 33 4 1
1620 1 7 14 + 13 57 18
1621 1 6 23 - 46 43 31
1622 1 7 37 - 17 32 19
1623 1 7 47 - 17 30 24
1623 1 7 48 - 17 30 24
1624 1 5 22 - 72 2 33
1625 1 7 43 - 46 54 30
1626 1 6 13 - 73 17 53
1627 1 8 11 - 46 5 38
1628 1 8 48 - 28 34 56
1629 1 9 18 + 2 34 5
1630 1 8 17 - 46 45 15
1631 1 8 45 - 46 28 31
1632 1 10 43 + 17 41 0
1633 1 9 56 - 45 55 53
1634 1 11 3 + 17 39 45
1635 1 11 4 + 17 39 6
1636 1 11 37 + 33 21 18
1637 1 11 1 - 30 26 19
1638 1 12 22 + 33 21 54
1639 1 11 47 - 0 39 50
1640 1 11 51 - 0 37 50
1641 1 9 39 - 71 46 8
1642 1 12 27 + 15 45 2
1643 1 12 9 - 0 24 35
1644 1 9 12 - 73 11 44
1645 1 12 27 + 15 45 2
1646 1 12 44 + 15 42 25
