NI RH RM RS V DG DM DS
196 2 3 50 + 14 44 21
197 2 4 5 + 2 47 12
198 2 6 3 + 9 17 46
199 2 6 19 + 9 13 38
200 2 5 27 + 31 10 32
201 2 7 15 + 9 6 56
202 2 7 29 + 9 10 7
203 2 7 30 + 9 7 23
204 2 7 27 - 1 25 47
205 2 7 28 - 2 5 31
206 2 9 31 - 6 58 8
207 2 9 39 - 6 55 21
208 2 8 28 + 6 23 41
209 2 8 59 - 7 3 33
210 2 9 28 - 9 40 47
211 2 11 8 + 3 51 7
212 2 13 38 + 16 35 40
213 2 14 4 + 16 27 22
214 2 14 6 + 5 10 34
215 2 14 9 - 6 48 22
216 2 15 55 - 2 0 53
217 2 16 11 - 11 55 32
218 2 17 7 + 1 16 57
219 2 18 39 - 6 54 11
220 2 19 12 - 12 46 53
221 2 22 41 + 28 15 25
222 2 22 48 + 11 38 19
223 2 22 1 - 20 44 45
224 2 24 45 - 12 33 50
225 2 26 28 + 1 9 39
226 2 27 46 + 28 12 32
227 2 28 3 + 28 10 32
228 2 26 42 - 14 30 57
229 2 27 23 - 23 49 12
230 2 28 47 - 10 49 54
231 2 29 56 + 1 10 46
232 2 31 12 + 1 15 58
233 2 31 41 + 2 48 38
234 2 31 38 - 0 8 22
235 2 32 51 + 20 38 29
236 2 32 56 - 0 7 51
237 2 33 32 + 1 8 23
238 2 35 23 + 12 50 18
239 2 36 28 + 38 58 8
240 2 38 58 + 41 43 10
241 2 37 54 + 2 19 40
242 2 38 24 - 6 56 1
243 2 38 32 - 6 54 6
244 2 39 25 + 2 43 39
245 2 38 54 - 14 18 22
246 2 40 29 + 2 28 45
247 2 40 9 - 11 44 0
248 2 41 26 + 17 48 43
249 2 41 2 - 6 56 8
250 2 40 54 - 13 18 49
251 2 41 14 - 14 57 29
252 2 41 45 - 14 50 52
252 2 41 45 - 14 50 43
253 2 42 6 - 15 2 50
254 2 42 5 - 15 6 26
255 2 47 3 + 16 17 20
256 2 49 40 + 46 57 16
257 2 49 45 + 46 58 32
258 2 49 46 + 41 3 7
259 2 49 41 + 41 3 20
260 2 51 1 + 46 57 18
261 2 49 4 - 14 28 13
262 2 51 43 + 42 49 42
263 2 49 40 - 0 4 11
264 2 48 48 - 0 6 31
265 2 54 44 + 41 39 21
266 2 55 5 + 42 15 50
267 2 53 50 + 12 50 57
268 2 55 27 - 14 6 12
269 2 55 26 - 14 3 59
270 2 55 44 - 14 12 27
271 2 55 59 - 12 0 30
272 2 56 6 - 14 11 13
273 2 57 11 + 2 46 34
274 3 0 6 + 44 13 0
275 3 0 56 + 44 21 1
275 3 0 56 + 44 20 46
275 3 0 59 + 44 21 2
276 2 58 41 - 15 42 12
277 2 59 51 + 2 46 16
278 3 1 30 + 37 45 59
279 3 1 12 + 16 12 33
280 3 3 3 + 42 21 32
281 3 4 37 + 42 21 46
282 3 6 13 + 41 50 56
283 3 3 51 - 0 12 16
284 3 6 10 + 42 22 18
285 3 4 6 - 12 0 54
286 3 4 47 - 6 29 7
287 3 4 58 - 12 4 12
288 3 7 33 + 42 23 16
289 3 10 19 + 61 19 3
290 3 9 43 + 40 58 30
291 3 7 27 - 12 35 13
292 3 10 13 + 40 45 57
293 3 10 56 + 41 8 16
294 3 11 3 + 40 37 18
295 3 11 3 + 40 37 18
296 3 11 3 + 40 37 18
297 3 13 18 + 42 8 55
298 3 11 18 + 1 18 57
298 3 11 20 + 1 18 48
299 3 11 3 - 13 6 33
300 3 14 16 + 42 24 54
301 3 14 48 + 42 13 23
302 3 12 51 + 4 42 23
303 3 12 41 - 11 41 22
304 3 15 1 + 37 52 55
305 3 15 4 + 37 51 38
306 3 13 0 - 11 42 57
307 3 13 45 - 0 14 28
